,ID,Name,Goodreads_Page
0,1214964,Ta Nehisi Coates,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/1214964.Ta_Nehisi_Coates"" itemprop=""url""><span itemprop=""name"">Ta-Nehisi Coates</span></a>"
1,8075577,Rupi Kaur,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/8075577.Rupi_Kaur"" itemprop=""url""><span itemprop=""name"">Rupi Kaur</span></a>"
2,3670,Jhumpa Lahiri,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri"" itemprop=""url""><span itemprop=""name"">Jhumpa Lahiri</span></a>"
3,13340713,Vaseem Khan,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/13340713.Vaseem_Khan"" itemprop=""url""><span itemprop=""name"">Vaseem Khan</span></a>"
4,4280,Kazuo Ishiguro,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/4280.Kazuo_Ishiguro"" itemprop=""url""><span itemprop=""name"">Kazuo Ishiguro</span></a>"
5,569,Khaled Hosseini,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/569.Khaled_Hosseini"" itemprop=""url""><span itemprop=""name"">Khaled Hosseini</span></a>"
6,5183642,Mark Oshiro,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/5183642.Mark_Oshiro"" itemprop=""url""><span itemprop=""name"">Mark Oshiro</span></a>"
7,7145613,Nayyirah Waheed,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/7145613.Nayyirah_Waheed"" itemprop=""url""><span itemprop=""name"">Nayyirah Waheed</span></a>"
8,11291,Chimamanda Ngozi Adichie,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/11291.Chimamanda_Ngozi_Adichie"" itemprop=""url""><span itemprop=""name"">Chimamanda Ngozi Adichie</span></a>"
9,6238,Marjane Satrapi,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/6238.Marjane_Satrapi"" itemprop=""url""><span itemprop=""name"">Marjane Satrapi</span></a>"
10,117366,Keigo Higashino,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/117366.Keigo_Higashino"" itemprop=""url""><span itemprop=""name"">Keigo Higashino</span></a>"
11,15549108,Akif Kichloo,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/15549108.Akif_Kichloo"" itemprop=""url""><span itemprop=""name"">Akif Kichloo</span></a>"
13,7577035,Alicia Wright,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/7577035.Alicia_Wright"" itemprop=""url""><span itemprop=""name"">Alicia  Wright</span></a>"
14,19016221,G M Nair,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/19016221.G_M_Nair"" itemprop=""url""><span itemprop=""name"">G.M. Nair</span></a>"
15,18000518,Charlie J Eskew,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/18000518.Charlie_J_Eskew"" itemprop=""url""><span itemprop=""name"">Charlie J. Eskew</span></a>"
17,22515,Mario Vargas Llosa,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/22515.Mario_Vargas_Llosa"" itemprop=""url""><span itemprop=""name"">Mario Vargas Llosa</span></a>"
18,38651,Dorothy Koomson,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/38651.Dorothy_Koomson"" itemprop=""url""><span itemprop=""name"">Dorothy Koomson</span></a>"
19,8096234,Charles J Eskew,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/8096234.Charles_J_Eskew"" itemprop=""url""><span itemprop=""name"">Charles J. Eskew</span></a>"
20,82438,Todd Shimoda,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/82438.Todd_Shimoda"" itemprop=""url""><span itemprop=""name"">Todd Shimoda</span></a>"
21,1911543,Leslie T Chang,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/1911543.Leslie_T_Chang"" itemprop=""url""><span itemprop=""name"">Leslie T. Chang</span></a>"
22,6937001,Yoshida Kenk ,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/6937001.Yoshida_Kenk_"" itemprop=""url""><span itemprop=""name"">Yoshida Kenkō</span></a>"
23,5832991,Sonia Sotomayor,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/5832991.Sonia_Sotomayor"" itemprop=""url""><span itemprop=""name"">Sonia Sotomayor</span></a>"
24,681627,Samia Serageldin,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/681627.Samia_Serageldin"" itemprop=""url""><span itemprop=""name"">Samia Serageldin</span></a>"
25,11892517,Jamie Berrout,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/11892517.Jamie_Berrout"" itemprop=""url""><span itemprop=""name"">Jamie Berrout</span></a>"
26,3354,Haruki Murakami,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/3354.Haruki_Murakami"" itemprop=""url""><span itemprop=""name"">Haruki Murakami</span></a>"
27,3495829,Vivek Shraya,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/3495829.Vivek_Shraya"" itemprop=""url""><span itemprop=""name"">Vivek Shraya</span></a>"
28,3878,Adeline Yen Mah,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/3878.Adeline_Yen_Mah"" itemprop=""url""><span itemprop=""name"">Adeline Yen Mah</span></a>"
29,3246397,Jean Kwok,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/3246397.Jean_Kwok"" itemprop=""url""><span itemprop=""name"">Jean Kwok</span></a>"
30,361956,Henry Yoshitaka Kiyama,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/361956.Henry_Yoshitaka_Kiyama"" itemprop=""url""><span itemprop=""name"">Henry (Yoshitaka) Kiyama</span></a>"
31,11230592,C B Lee,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/11230592.C_B_Lee"" itemprop=""url""><span itemprop=""name"">C.B. Lee</span></a>"
32,53027,Ma Jian,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/53027.Ma_Jian"" itemprop=""url""><span itemprop=""name"">Ma Jian</span></a>"
33,2522,Zadie Smith,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/2522.Zadie_Smith"" itemprop=""url""><span itemprop=""name"">Zadie Smith</span></a>"
34,64753,Can Xue,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/64753.Can_Xue"" itemprop=""url""><span itemprop=""name"">Can Xue</span></a>"
35,5388148,Janet Mock,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/5388148.Janet_Mock"" itemprop=""url""><span itemprop=""name"">Janet Mock</span></a>"
36,1042875,Teju Cole,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/1042875.Teju_Cole"" itemprop=""url""><span itemprop=""name"">Teju Cole</span></a>"
37,7353006,Nicola Yoon,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/7353006.Nicola_Yoon"" itemprop=""url""><span itemprop=""name"">Nicola Yoon</span></a>"
38,124362,Rattawut Lapcharoensap,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/124362.Rattawut_Lapcharoensap"" itemprop=""url""><span itemprop=""name"">Rattawut Lapcharoensap</span></a>"
39,15049422,Angie Thomas,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/15049422.Angie_Thomas"" itemprop=""url""><span itemprop=""name"">Angie Thomas</span></a>"
40,62372,Leila Aboulela,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/62372.Leila_Aboulela"" itemprop=""url""><span itemprop=""name"">Leila Aboulela</span></a>"
41,117105,Yasushi Inoue,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/117105.Yasushi_Inoue"" itemprop=""url""><span itemprop=""name"">Yasushi Inoue</span></a>"
42,7064545,Malala Yousafzai,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/7064545.Malala_Yousafzai"" itemprop=""url""><span itemprop=""name"">Malala Yousafzai</span></a>"
43,14465,K ji Suzuki,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/14465.K_ji_Suzuki"" itemprop=""url""><span itemprop=""name"">Kōji Suzuki</span></a>"
44,27528,Nalo Hopkinson,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/27528.Nalo_Hopkinson"" itemprop=""url""><span itemprop=""name"">Nalo Hopkinson</span></a>"
45,6567403,Shinji Moon,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/6567403.Shinji_Moon"" itemprop=""url""><span itemprop=""name"">Shinji Moon</span></a>"
46,5562157,John Chu,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/5562157.John_Chu"" itemprop=""url""><span itemprop=""name"">John Chu</span></a>"
47,68959,Gene Luen Yang,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/68959.Gene_Luen_Yang"" itemprop=""url""><span itemprop=""name"">Gene Luen Yang</span></a>"
48,4632661,Zen Cho,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/4632661.Zen_Cho"" itemprop=""url""><span itemprop=""name"">Zen Cho</span></a>"
49,8475467,Ahmatjan Osman,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/8475467.Ahmatjan_Osman"" itemprop=""url""><span itemprop=""name"">Ahmatjan Osman</span></a>"
